"id","judul","deskripsi","tanggal","kategori","isi_artikel","image","created_at","updated_at"
"1","Inovasi Pertanian Digital di Era Industri 4.0","Bagaimana alumni IPB berkontribusi dalam transformasi digital pertanian.","2025-10-15","Teknologi","Transformasi digital dalam sektor pertanian telah mengubah cara petani berproduksi dan memasarkan hasilnya.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"2","Bisnis Berkelanjutan di Era Hijau","Alumni IPB mengembangkan bisnis ramah lingkungan yang berkelanjutan.","2025-09-12","Bisnis","Bisnis berkelanjutan kini menjadi tren di kalangan alumni muda yang peduli terhadap lingkungan.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"3","Konservasi Air untuk Pertanian Modern","Pentingnya pengelolaan air untuk pertanian di masa depan.","2025-08-25","Lingkungan","Konservasi air menjadi faktor penting untuk menjaga keberlanjutan pertanian.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"4","Teknologi IoT dalam Peternakan","Pemanfaatan Internet of Things dalam dunia peternakan modern.","2025-10-10","Teknologi","IoT membantu peternak memantau kondisi hewan dan lingkungan secara real-time.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"5","Strategi Pemasaran Digital untuk UMKM","Bagaimana alumni IPB membantu UMKM melalui strategi pemasaran digital.","2025-07-19","Bisnis","Pemasaran digital menjadi solusi efektif bagi UMKM untuk memperluas jangkauan pelanggan.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"6","Dampak Perubahan Iklim terhadap Produksi Pangan","Perubahan iklim menjadi tantangan besar dalam produksi pangan global.","2025-06-23","Lingkungan","Perubahan iklim mempengaruhi hasil panen dan rantai pasokan pangan secara global.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"7","Inovasi Fintech untuk Pertanian","Kolaborasi alumni IPB dalam mengembangkan solusi finansial berbasis teknologi.","2025-10-01","Teknologi","Fintech membuka peluang akses permodalan yang lebih mudah bagi petani kecil.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"8","Pengelolaan Limbah Organik menjadi Pupuk","Program alumni IPB dalam mendaur ulang limbah organik.","2025-09-03","Lingkungan","Limbah organik kini dapat diolah menjadi pupuk ramah lingkungan untuk pertanian.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"9","Ekonomi Kreatif Berbasis Pertanian","Peran alumni IPB dalam mendorong ekonomi kreatif berbasis produk pertanian.","2025-08-10","Bisnis","Ekonomi kreatif berbasis pertanian membuka lapangan kerja baru di pedesaan.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
"10","Pemanfaatan AI dalam Pengolahan Hasil Pertanian","AI digunakan untuk meningkatkan efisiensi dan kualitas produk pertanian.","2025-07-28","Teknologi","Kecerdasan buatan membantu meningkatkan efisiensi proses pascapanen.","article_images/o8QelCaSH20mtjJAP5voVQFvq2ROJn4xeSP.jpg",NULL,NULL
